uniprot_accession,gene,kp_ess_in_vitro_call,kp_ess_in_vitro_score,kp_ess_urine_call,kp_ess_urine_score,kp_ess_serum_call,kp_ess_serum_score,kp_ess_in_vivo_call,kp_ess_in_vivo_score,kp_ess_vulnerability_call,kp_ess_sources,ec_transfer_essential,ec_transfer_via,ec_transfer_pident,n_ecoli_orthologs,entero_pct_essential,bacteria_pct_essential,proteomelm_ess_score,proteomelm_ess_essential,proteomelm_ess_status,geptop_score,geptop_essential,geptop_status,fba_essential,fba_growth_ratio,mapped_model_gene,fba_mapping_pident,fba_status,deeplyessential_score,deeplyessential_essential,deeplyessential_status,crispri_ce_library,kpnih1_essential,crispri_invivo_hit,ecoli_keio_essential,ecoli_goodall_essential,ecoli_crispri_rousset18_log2fc,ecoli_crispri_rousset18_essential,ecoli_crispri_wang18_fitness,ecoli_crispri_wang18_essential,ecoli_crispri_multistrain_frac,ecoli_vulnerability_hawkins,ecoli_rbtnseq_min_fitness,n_ecoli_screens_essential,ecoli_experimental_essential,ecoli_vulnerability_score,evidence_experimental,evidence_transfer,evidence_predictor,essentiality_score,experimentally_essential,essentiality_tier,evidence_sources,selectivity
A5A616,mgtS,,,,,,,,,,,False,b4599,100.0,1,0.071,0.0139999999999999,0.0003,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),,,,,not_in_model,,,deferred,,,,False,False,-0.422056319455061,False,-0.2407604469,False,0.0,,,0,False,0.0703,0.0703,0.071,0.00018749999999999998,0.0424,False,non_essential,,narrow_selective
O32583,thiS,,,,,,,,,,,False,b4407,100.0,1,0.0,0.081,0.0018,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),True,0.0,b4407,100.0,in_model,,,deferred,,,,False,False,,False,-0.242949150939,False,0.0,,-7.411,0,False,0.0243,0.0243,0.0,0.20090000000000002,0.0901,False,non_essential,FBA,broad_selective
P00350,gnd,,,,,,,,,,,False,b2029,100.0,1,0.0,0.419,0.111,False,ok (head cv_auroc=0.809),0.0508,False,ok (37 refs),False,0.9959,b2029,100.0,in_model,,,deferred,,,,False,False,-0.202581665414024,False,-0.161008854026,False,0.0,,-3.619,0,False,0.0338,0.0338,0.0,0.07074,0.0418,False,non_essential,,broad_human_homolog
P00363,frdA,,,,,,,,,,,False,b4154,100.0,1,0.0,0.027,0.028,False,ok (head cv_auroc=0.809),0.3518,True,ok (37 refs),False,1.0,b4154,100.0,in_model,,,deferred,,,,False,False,-0.428834150643655,False,-0.213064417608,False,0.0,,-2.643,0,False,0.0715,0.0715,0.0,0.11954,0.0764,False,non_essential,Geptop,broad_selective
P00370,gdhA,,,,,,,,,,,False,b1761,100.0,1,0.0,0.0139999999999999,0.1238,False,ok (head cv_auroc=0.809),0.0253,False,ok (37 refs),False,1.0,b1761,100.0,in_model,,,deferred,,,,False,False,-0.319149547768376,False,0.141407695554,False,0.0,,-4.638,0,False,0.0532,0.0532,0.0,0.06949,0.0491,False,non_essential,,broad_human_homolog
P00393,ndh,,,,,,,,,,,False,b1109,100.0,1,0.0,0.095,0.0542,False,ok (head cv_auroc=0.809),0.0264,False,ok (37 refs),False,1.0,b1109,100.0,in_model,,,deferred,,,,False,False,-1.42062645767602,False,-1.43703458935,False,0.2777777777777778,,-4.728,0,False,0.2368,0.2368,0.0,0.035019999999999996,0.1087,False,non_essential,,broad_human_homolog
P00448,sodA,,,,,,,,,,,False,b3908,100.0,1,0.0,0.432,0.0,False,ok (head cv_auroc=0.809),0.0543,False,ok (37 refs),False,1.0,b3908,100.0,in_model,,,deferred,,,,False,False,-0.777788029848928,False,0.229949496621,False,0.1111111111111111,,-5.916,0,False,0.1296,0.1296,0.0,0.01629,0.0584,False,non_essential,,broad_human_homolog
P00452,nrdA,,,,,,,,,,,True,b2234,100.0,1,0.857,0.73,0.947,True,ok (head cv_auroc=0.809),0.2223,False,ok (37 refs),False,1.0,b2234,100.0,in_model,,,deferred,,,,True,True,-5.31294676979221,True,-7.47255791059,True,0.6296296296296297,-0.0994466456574941,,4,True,1.0,1.0,1.0,0.54019,0.8161,True,essential,Keio;Goodall;Rousset18;Wang18;Ecoli;ProteomeLM,broad_human_homolog
P00490,malP,,,,,,,,,,,False,b3417,100.0,1,0.0,0.0409999999999999,0.0044,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b3417,100.0,in_model,,,deferred,,,,False,False,-0.332109297290243,False,0.0982932016789,False,0.0,,-1.809,0,False,0.0554,0.0554,0.0,0.0022,0.023,False,non_essential,,broad_human_homolog
P00509,aspC,,,,,,,,,,,False,b0928,100.0,1,0.0,0.1889999999999999,0.0052,False,ok (head cv_auroc=0.809),0.0,False,ok (37 refs),False,1.0,b0928,100.0,in_model,,,deferred,,,,False,False,-0.542584055721495,False,-0.70923508126,False,0.1111111111111111,,-5.364,0,False,0.0904,0.0904,0.0,0.0026,0.0372,False,non_essential,,broad_human_homolog
P00550,mtlA,,,,,,,,,,,False,b3599,100.0,1,0.0,0.23,0.0,False,ok (head cv_auroc=0.809),0.0256,False,ok (37 refs),False,1.0,b3599,100.0,in_model,,,deferred,,,,False,False,-0.460557290421023,False,0.25044140012,False,0.0,,-3.722,0,False,0.0768,0.0768,0.0,0.00768,0.0338,False,non_essential,,broad_selective
P00561,thrA,,,,,,,,,,,False,b0002,100.0,1,0.0,0.419,0.0001,False,ok (head cv_auroc=0.809),0.3233,True,ok (37 refs),False,1.0,b0002,100.0,in_model,,,deferred,,,,False,False,-0.246963610351476,False,-0.703840215351,False,0.2407407407407407,,-9.105,0,False,0.0704,0.0704,0.0,0.09703999999999999,0.067,False,non_essential,Geptop,broad_selective
